Entity,Day,Data
Africa,2022-09-25,325379170
Africa,2022-09-26,326250800
Africa,2022-09-27,327128100
Africa,2022-09-28,328039580
Africa,2022-09-29,328981980
Africa,2022-09-30,329908060
Africa,2022-10-01,330832300
Africa,2022-10-02,331756930
Africa,2022-10-03,332704420
Africa,2022-10-04,333651780
Africa,2022-10-05,334600260
Africa,2022-10-06,335548770
Africa,2022-10-07,336497150
Africa,2022-10-08,337445220
Africa,2022-10-09,338391300
Africa,2022-10-10,339152130
Africa,2022-10-11,339915650
Africa,2022-10-12,340658180
Africa,2022-10-13,341401200
Africa,2022-10-14,342144220
Africa,2022-10-15,343089760
Africa,2022-10-16,344032670
Africa,2022-10-17,345060500
Africa,2022-10-18,345882400
Africa,2022-10-19,346704480
Africa,2022-10-20,347527170
Africa,2022-10-21,348276030
Africa,2022-10-22,349022620
Africa,2022-10-23,349769250
Africa,2022-10-24,350760400
Africa,2022-10-25,351754720
Africa,2022-10-26,352744600
Africa,2022-10-27,353734080
Africa,2022-10-28,354699700
Africa,2022-10-29,355664960
Africa,2022-10-30,356628000
Africa,2022-10-31,357279400
Africa,2022-11-01,357930800
Africa,2022-11-02,358583870
Africa,2022-11-03,359237340
Africa,2022-11-04,359882600
Africa,2022-11-05,360527500
Africa,2022-11-06,361169820
Africa,2022-11-07,361711400
Africa,2022-11-08,362255800
Africa,2022-11-09,362800860
Africa,2022-11-10,363346500
Africa,2022-11-11,363891900
Africa,2022-11-12,364436900
Africa,2022-11-13,364979140
Africa,2022-11-14,365918600
Africa,2022-11-15,366861700
Africa,2022-11-16,367815260
Africa,2022-11-17,368768800
Africa,2022-11-18,369722300
Africa,2022-11-19,370675200
Africa,2022-11-20,371625540
Africa,2022-11-21,372735400
Africa,2022-11-22,373847520
Africa,2022-11-23,374959600
Africa,2022-11-24,376071970
Africa,2022-11-25,377184930
Africa,2022-11-26,378296930
Africa,2022-11-27,379406620
Africa,2022-11-28,380224450
Africa,2022-11-29,381049380
Africa,2022-11-30,381874600
Africa,2022-12-01,382699780
Africa,2022-12-02,383524220
Africa,2022-12-03,384347680
Africa,2022-12-04,385169060
Africa,2022-12-05,385924350
Africa,2022-12-06,386681250
Africa,2022-12-07,387438530
Africa,2022-12-08,388194880
Africa,2022-12-09,388951260
Africa,2022-12-10,389707260
Africa,2022-12-11,390461860
Africa,2022-12-12,390943940
Africa,2022-12-13,391411740
Africa,2022-12-14,391880320
Africa,2022-12-15,392349250
Africa,2022-12-16,392817470
Africa,2022-12-17,393284600
Africa,2022-12-18,395219800
Africa,2022-12-19,395602300
Africa,2022-12-20,395984770
Africa,2022-12-21,396367650
Africa,2022-12-22,396750530
Africa,2022-12-23,397138560
Africa,2022-12-24,397526620
Africa,2022-12-25,397914660
Africa,2022-12-26,398295680
Africa,2022-12-27,398676700
Africa,2022-12-28,399057730
Africa,2022-12-29,399438750
Africa,2022-12-30,399819740
Africa,2022-12-31,400200770
Africa,2023-01-01,400581800
